name, serving_quantity, grams_per_serving, cal
Acai Juice, 8 fl. oz., 240, 139
Aloe Vera, 8 fl. oz., 240, 106
Apple Juice, 8 fl. oz., 240, 110
Apricot Nectar, 8 fl. oz., 240, 134
Banana Juice, 8 fl. oz., 240, 120
Blackberry Juice, 8 fl. oz., 240, 115
Boysenberry Juice, 8 fl. oz., 240, 130
Capri-Sun, 1 capri-sun, 200, 82
Carrot Juice, 8 fl. oz., 240, 96
Chamomile Tea, 8 fl. oz., 240, 0
Cherry Juice, 8 fl. oz., 240, 108
Clamato, 8 fl. oz., 240, 144
Coconut Milk, 8 fl. oz., 240, 559
Coconut Water, 8 fl. oz., 240, 46
Concord Grape, 8 fl. oz., 240, 170
Cranberry Apple Juice, 8 fl. oz., 240, 161
Cranberry Grape Juice, 8 fl. oz., 240, 170
Cranberry Juice, 8 fl. oz., 240, 110
Cucumber Juice, 8 fl. oz., 240, 24
Currant Juice, 8 fl. oz., 240, 115
Energy-Drink, 12 fl. oz., 355, 309
Fruitopia, 8 fl. oz., 240, 264
Grape Juice, 8 fl. oz., 240, 144
Grapefruit Juice, 8 fl. oz., 240, 110
Lemon Juice, 8 fl. oz., 240, 50
Lemonade, 8 fl. oz., 240, 120
Lime Juice, 8 fl. oz., 240, 50
Limeade, 8 fl. oz., 240, 307
Mango Lassi, 8 fl. oz., 240, 158
Nestea, 8 fl. oz., 240, 50
Orange Juice, 8 fl. oz., 240, 110
Papaya Juice, 8 fl. oz., 240, 139
Passion Fruit Juice, 8 fl. oz., 240, 115
Peach Juice, 8 fl. oz., 240, 130
Peach Nectar, 8 fl. oz., 240, 130
Pear Juice, 8 fl. oz., 240, 144
Pear Nectar, 8 fl. oz., 240, 144
Pineapple Juice, 8 fl. oz., 240, 127
Pineapple Orange Juice, 8 fl. oz., 240, 120
Plum Juice, 8 fl. oz., 240, 170
Pomegranate Juice, 8 fl. oz., 240, 158
Sauerkraut Juice, 8 fl. oz., 240, 34
Tangerine Juice, 8 fl. oz., 240, 103
Tomato Juice, 8 fl. oz., 240, 41
Vegetable Juice, 8 fl. oz., 240, 50
White Grape Juice, 8 fl. oz., 240, 180
