name, serving_quantity, grams_per_serving, cal
Absinthe, 1 1/2 fl. oz., 44, 153
Advocaat, 1 1/2 fl. oz., 44, 125
Amaretto, 1 shot, 25, 78
Applejack, 1 1/2 fl. oz., 44, 103
Asti, 1 glass, 100, 138
Baileys, 1 1/2 fl. oz., 44, 144
Bailey’s Irish Cream, 1 1/2 fl. oz., 44, 144
Beer, 1 can, 355, 153
Blue Curacao, 1 fl. oz., 30, 73
Bourbon, 1 1/2 fl. oz., 44, 103
Brandy, 1 1/2 fl. oz., 44, 94
Canadian Whiskey, 1 1/2 fl. oz., 44, 95
Chambord, 1 glass, 150, 522
Champagne, 1 glass, 100, 75
Cider, 1 glass, 150, 74
Cognac, 1 1/2 fl. oz., 44, 103
Cointreau, 1 1/2 fl. oz., 44, 141
Drambuie, 1 1/2 fl. oz., 44, 158
Frangelico, 1 1/2 fl. oz., 44, 105
Gin, 1 shot, 25, 66
Glenfiddich, 1 1/2 fl. oz., 44, 101
Grand Marnier, 1 1/2 fl. oz., 44, 111
Irish Whiskey, 1 1/2 fl. oz., 44, 103
Jack Daniel’s, 1 1/2 fl. oz., 44, 64
Jagermeister, 1 shot, 25, 63
Jim Beam, 1 1/2 fl. oz., 44, 98
Kahlua, 1 shot, 25, 45
Liqueur, 1 shot, 25, 63
Liquor, 1 shot, 25, 63
Midori, 1 fl. oz., 30, 80
Prosecco, 1 glass, 100, 66
Punch, 1 cup, 237, 147
Red Wine, 1 glass, 150, 128
Rose Wine, 1 glass, 150, 107
Rum, 1 1/2 fl. oz., 44, 102
Sambuca, 1 shot, 25, 83
Sangria, 1 glass, 250, 240
Scotch, 1 1/2 fl. oz., 44, 98
Sherry, 1 1/2 fl. oz., 44, 51
Sloe Gin, 1 shot, 25, 83
Southern Comfort, 1 1/2 fl. oz., 44, 109
Tequila, 1 shot, 25, 28
Triple Sec, 1 glass, 150, 230
Vermouth, 1 1/2 fl. oz., 44, 57
Vodka, 1 shot, 25, 58
Whisky, 1 1/2 fl. oz., 44, 110
White Wine, 1 glass, 150, 123
Wine, 1 glass, 150, 125
