name, serving_quantity, grams_per_serving, cal
Beef, 6 oz., 168, 287
Beef Brisket, 1 piece, 178, 244
Beef Fillet, 6 oz., 168, 318
Beef Goulash, 1 cup, 227, 279
Beef Minute Steak, 6 oz., 168, 223
Beef Neck, 1 piece, 224, 477
Beef Pancreas, 1 piece, 222, 602
Beef Patty, 1 patty , 64, 158
Beef Prime Rib, 1 piece, 278, 1123
Beef Ribs, 1 rib, 340, 666
Beef Sirloin, 1 serving, 85, 155
Beef Suet, 1 oz., 28, 239
Beef Tallow, 1 cup, 205, 1849
Beef Thymus, 1 piece, 381, 1215
Beef Tripe, 1 serving, 85, 80
Chuck Roast, 1 piece, 224, 316
Chuck Steak, 1 piece, 340, 466
Filet Mignon, 6 oz., 168, 348
Flank Steak, 1 steak, 320, 621
Ground Beef, 6 oz., 168, 405
Ground Chuck, 6 oz., 168, 420
Ground Round, 6 oz., 168, 356
Minced Veal, 6 oz., 168, 240
Porterhouse Steak, 1 steak, 320, 790
Rib Eye Steak, 1 steak, 281, 610
Roast Beef, 1 slice, 341, 638
Rump Steak, 1 steak, 205, 351
Skirt Steak, 6 oz., 168, 344
Stew Beef, 1 lb., 454, 867
Strip Steak, 3 slices, 34, 40
T-Bone-Steak, 6 oz., 168, 371
Veal, 1 piece, 291, 821
Veal Breast, 1 piece, 291, 821
Veal Leg, 1 piece, 272, 574
Veal Roast Beef, 1 piece, 208, 364
Veal Shank, 1 piece, 223, 395
Veal Shoulder, 1 piece, 283, 518
Veal Sirloin, 1 piece, 183, 373
Veal Tenderloin, 1 piece, 229, 497
