name, serving_quantity, grams_per_serving, cal
Ale, 1 can/bottle, 354, 124
Altbier, 1 can/bottle, 354, 152
Bass, 1 can/bottle, 354, 159
Beck’s, 1 can/bottle, 354, 138
Beer, 1 can/bottle, 354, 152
Blue Moon, 1 can/bottle, 354, 170
Bock Beer, 1 can/bottle, 354, 177
Buckler (N.A.), 1 can/bottle, 354, 74
Bud Ice, 1 can/bottle, 354, 124
Bud Light, 1 can/bottle, 354, 103
Bud Light Chelada, 1 can/bottle, 354, 152
Bud Light Lime, 1 can/bottle, 354, 120
Bud Select, 1 can/bottle, 354, 99
Bud Select 55, 1 can/bottle, 354, 53
Budweiser, 1 can/bottle, 354, 145
Budweiser Chelada, 1 can/bottle, 354, 184
Busch, 1 can/bottle, 354, 131
Busch Light, 1 can/bottle, 354, 96
Busch N.A., 1 can/bottle, 354, 60
Carlsberg, 1 can/bottle, 354, 113
Clausthaler (N.A.), 1 can/bottle, 354, 92
Colt 45, 1 can/bottle, 354, 156
Coors, 1 can/bottle, 354, 149
Coors Light, 1 can/bottle, 354, 103
Coors N.A., 1 can/bottle, 354, 64
Corona, 1 can/bottle, 354, 149
Dark Beer, 1 can/bottle, 354, 163
Genesee Cream Ale, 1 can/bottle, 354, 163
Ginger Beer, 1 can/bottle, 354, 149
Guinness, 1 pint, 568, 199
Heineken, 1 can/bottle, 354, 124
Honey Brown, 1 can/bottle, 354, 149
Hurricane High Gravity, 1 can/bottle, 354, 138
IPA, 1 can/bottle, 354, 181
Keystone Ice, 1 can/bottle, 354, 142
Keystone Light, 1 can/bottle, 354, 103
Koelsch, 1 can/bottle, 354, 152
Labatt, 1 can/bottle, 354, 152
Lager Beer, 1 can/bottle, 354, 152
Land Shark, 1 can/bottle, 354, 149
Light Beer, 1 can/bottle, 354, 103
Lowenbrau, 1 can/bottle, 354, 159
Malt Beer, 1 can/bottle, 354, 131
Michelob Amber Bock, 1 can/bottle, 354, 166
Michelob Lager, 1 can/bottle, 354, 156
Michelob Light, 1 can/bottle, 354, 113
Michelob Ultra, 1 can/bottle, 354, 96
Michelob Ultra Amber, 1 can/bottle, 354, 92
Michelob Ultra Lime Cactus, 1 can/bottle, 354, 96
Miller Chill, 1 can/bottle, 354, 110
Miller Genuine Draft, 1 can/bottle, 354, 142
Miller High Life, 1 can/bottle, 354, 142
Miller High Life Light, 1 can/bottle, 354, 110
Miller Lite, 1 can/bottle, 354, 96
Milwaukee’s Best, 1 can/bottle, 354, 127
Milwaukee’s Best Light, 1 can/bottle, 354, 99
Molson, 1 can/bottle, 354, 149
Natural Ice, 1 can/bottle, 354, 156
Natural Light, 1 can/bottle, 354, 96
Newcastle, 1 can/bottle, 354, 138
Non-alcoholic Beer, 1 can/bottle, 354, 131
Old Milwaukee, 1 can/bottle, 354, 145
Old Milwaukee N.A., 1 can/bottle, 354, 57
Olde English, 1 can/bottle, 354, 159
O’Doul’s (N.A.), 1 can/bottle, 354, 67
Pabst Blue Ribbon, 1 can/bottle, 354, 145
Pale Ale, 1 can/bottle, 354, 149
Pilsner, 1 can/bottle, 354, 152
Porter, 1 can/bottle, 354, 191
Redbridge (Gluten-free), 1 can/bottle, 354, 159
Rolling Rock, 1 can/bottle, 354, 131
Rolling Rock Light, 1 can/bottle, 354, 106
Root Beer, 1 can/bottle, 354, 145
Samuel Adams, 1 can/bottle, 354, 159
Shock Top, 1 can/bottle, 354, 166
Shock Top Raspberry Wheat, 1 can/bottle, 354, 177
Sierra Nevada Strong, 1 can/bottle, 354, 219
Sparks, 1 can/bottle, 354, 262
St. Pauli Girl, 1 can/bottle, 354, 149
Steel Reserve, 1 can/bottle, 354, 223
Stout, 1 can/bottle, 354, 181
Stout Beer, 1 can/bottle, 354, 181
Strong Beer, 1 can/bottle, 354, 195
Tilt, 1 can/bottle, 354, 227
Wheat Beer, 1 can/bottle, 354, 159
