name, serving_quantity, grams_per_serving, cal
Angel Food Cake, 1 piece, 28, 72
Apple Cake, 1 serving, 100, 252
Apple Cobbler, 1 serving, 100, 198
Apple Crisp, 1 serving, 100, 156
Apple Crumble, 1 serving, 100, 156
Apple Pie, 1 slice, 125, 296
Apple Strudel, 1 piece, 71, 195
Apple Turnover, 1 turnover, 82, 285
Applesauce Cake, 1 piece, 62, 222
Baked Alaska, 1 piece, 103, 254
Bakewell Tart, 1 piece, 59, 254
Banoffee Pie, 1 serving, 100, 395
Birthday Cake, 1 piece, 85, 395
Black and White Cookie, 1 cookie, 113, 431
Black Forest Cake, 1 piece, 107, 282
Blueberry Cobbler, 1 slice, 100, 234
Blueberry Muffin, 1 muffin, 57, 215
Blueberry Pie, 1 piece, 125, 290
Bundt Cake, 1 slice, 91, 337
Buttermilk Pie, 1 piece, 144, 547
Caramel Cake, 1 slice, 64, 304
Carrot Cake, 1 piece, 133, 543
Cheesecake, 1 piece, 80, 257
Cherry Pie, 1 piece, 125, 325
Chess Pie, 1 piece, 89, 366
Chocolate Cake, 1 piece, 138, 537
Chocolate Cream Pie, 1 piece, 99, 301
Chocolate Mousse Cake, 1 piece, 95, 247
Chocolate Mousse Pie, 1 piece, 95, 247
Chocolate Muffin, 1 muffin, 100, 420
Coconut Cake, 1 piece, 66, 235
Coffee Cake, 1 piece, 90, 298
Cream Puff, 1 cream puff, 130, 434
Crumb Cake, 1 piece, 57, 251
Cupcake, 1 cupcake, 43, 131
Danish Pastry, 1 pastry, 71, 266
Donut, 1 donut, 60, 242
Doughnut, 1 doughnut, 60, 242
Flan, 1/2 cup, 153, 222
Flourless Chocolate Cake, 1 piece, 80, 407
French Cruller, 1 cruller, 41, 169
Fruit Cake, 1 piece, 43, 139
Funnel Cake, 1 cake, 90, 276
German Chocolate Cake, 1 piece, 110, 407
Gingerbread, 1 piece, 74, 263
Ice Cream Cake, 1 piece, 120, 240
Key Lime Pie, 1 piece, 80, 287
King Cake, 1 piece, 91, 343
Layer Cake, 1 slice, 107, 430
Lemon Cake, 1 piece, 66, 232
Lemon Meringue Pie, 1 piece, 113, 303
Madeira Cake, 1 slice, 50, 197
Marble Cake, 1 piece, 109, 370
Meringue, 1 piece, 127, 362
Opera Cake, 1 piece, 25, 80
Paczki, 1 paczki, 85, 286
Pancake, 1 pancake, 38, 86
Panettone, 1 slice, 50, 180
Pavlova, 1 serving, 65, 191
Peach Cobbler, 1 tbsp, 15, 10
Peach Pie, 1 piece, 117, 261
Pecan Pie, 1 slice, 133, 541
Pineapple Upside-Down Cake, 1 piece, 115, 367
Plum Cake, 1 piece, 150, 164
Poppy-Seed Cake, 1 piece, 90, 355
Pound Cake, 1 serving, 55, 215
Profiterole, 1 serving, 113, 377
Puff Pastry, 1 sheet, 245, 1367
Pumpkin Bread, 1 slice, 60, 179
Pumpkin Cheesecake, 1 piece, 100, 340
Pumpkin Pie, 1 slice, 133, 323
Raspberry Pie, 1 piece, 137, 329
Red Velvet Cake, 1 piece, 80, 294
Rhubarb Pie, 1 piece, 137, 336
Rum Cake, 1 piece, 57, 200
Sacher Torte, 1 piece, 125, 440
Sponge Cake, 1 piece, 38, 110
Strawberry Cheesecake, 1 slice, 61, 199
Strawberry Pie, 1 piece, 167, 384
Strawberry Rhubarb Pie, 1 piece, 150, 422
Sweet Potato Pie, 1 piece, 131, 341
Swiss Roll, 1 cake, 31, 136
Tarte Tatin, 1 piece, 100, 210
Tiramisu, 1 serving, 174, 492
Tiramisu Cake, 1 piece, 108, 314
Treacle Tart, 1 serving, 100, 369
Tres Leches Cake, 1 piece, 120, 295
Trifle, 1 serving, 100, 180
Victoria Sponge Cake, 1 piece, 28, 72
Waffles, 1 waffle, 33, 103
Wedding Cake, 1 piece, 109, 415
