name, serving_quantity, grams_per_serving, cal
3 Musketeers, 1 bar, 60, 240
After Eight, 1 after eight, 8, 36
Airheads, 1 bar, 16, 60
Almond Roca, 3 pieces, 35, 200
Angel Delight, 1 sachet, 59, 266
Animal Crackers, 10 crackers, 19, 85
Baby Ruth, 1 bar, 21, 98
Butterfinger, 1 bar, 60, 270
Buttermilk Pancakes, 1 pancake, 35, 83
Candy Apple, 1 apple, 141, 214
Candy Cane, 1 piece, 14, 59
Candy canes, 1 piece, 14, 59
Candy Corn, 20 pieces, 41, 148
Candy Floss, 1 bag, 10, 40
Caramel Popcorn, 1 cup, 43, 162
Caramel squares, 1 square, 10, 37
Celebrations, 1 piece, 9, 44
Cheez-It’s, 20 crackers, 22, 117
Chocolate, 1 piece, 7, 37
Chocolate Bar, 1 bar, 45, 240
Chocolate Chips, 1 tbsp, 14, 69
Cookies, 1 cookie, 16, 78
Cotton Candy, 1/2 bag, 14, 90
Eggy Bread, 1 eggy bread, 85, 167
Fairy Cakes, 1 cake, 15, 66
Ferrero Rocher, 1 piece, 12.5, 69
Flapjack, 1 bar, 75, 365
Fortune Cookies, 1 cookie, 7, 15
Granola Bars, 1 bar, 21, 95
Gumdrops, 20 pieces, 74, 238
Gummi Bears, 20 pieces, 54, 171
Hanuta, 1 hanuta, 22, 119
Hershey Kisses, 10 pieces, 50, 236
Jelly Beans, 10 pieces, 30, 106
Jelly Belly, 10 pieces, 30, 106
Jolly Ranchers, 1 piece, 7, 27
Jordan Almonds, 20 pieces, 65, 279
Kit Kat, 1 bar, 45, 234
Laffy Taffy, 1 bar, 9, 33
Licorice, 5 pieces, 29, 109
LifeSavers, 10 pieces, 20, 100
Lindt Chocolate, 1 piece, 5, 27
Liquorice, 5 pieces, 29, 109
Lollipop, 1 lollipop, 12, 47
M&M’s, 20 pieces, 14, 67
Maltesers, 1 bag, 37, 184
Mars Bar, 1 bar, 45, 202
Marshmallows, 5 pieces, 39, 124
Marzipan, 1 piece, 20, 82
Mike and Ike, 20 pieces, 37, 133
Milk Duds, 20 pieces, 62, 262
Milky Way, 1 bar, 22, 99
PayDay, 1 bar, 52, 240
Peanut Bar, 1 bar, 45, 240
Peanut Brittle, 1/2 cup, 36, 66
Peanut Butter Bars, 1 bar, 77, 292
Peanut Butter Cookies, 1 cookie , 20, 95
Peppermint bark, 1 piece, 28, 140
Pez, 1 roll, 8, 34
Pop Rocks, 1 bag, 10, 36
Popcorn, 1 cup, 11, 64
Pumpkin Seeds, 1 tbsp, 10, 56
Reeses Peanut Butter Cups, 1 cup, 28, 150
Rice Pudding, 1 cup, 225, 302
Roasted Almonds, 1 bar, 21, 95
Rolo, 5 pieces, 30, 142
Semolina, 1 tbsp, 11, 37
Skittles, 20 pieces, 22, 89
Smarties, 1 roll, 7, 25
Smores, 1 bar, 43, 215
Snickers, 1 bar, 50, 242
Sour Patch Kids, 20 pieces, 37, 134
Speculoos, 1 cookie, 8, 38
Spritz Cookies, 1 cookie, 11, 55
S’mores, 1 bar, 43, 215
Take 5, 1 bar, 42, 200
Toblerone, 1 piece, 9, 47
Trifle, 1/2 trifle, 250, 465
Twix, 1 bar, 25, 124
Waffles, 1 waffle, 35, 95
Whoopie Pie, 10 crackers, 19, 76
