name, serving_quantity, grams_per_serving, cal
Applesauce, 1 cup, 114, 71
Canned Apricots, 1 cup, 246, 118
Canned Blackberries, 1 cup, 256, 236
Canned Blueberries, 1 cup, 256, 225
Canned Cherries, 1 cup, 250, 135
Canned Cranberries, 1 cup, 275, 490
Canned Crushed Pineapple, 1 cup, 225, 119
Canned Figs, 1 cup, 261, 279
Canned Fruit Cocktail, 1 cup, 246, 199
Canned Fruit Salad, 1 cup, 259, 130
Canned Gooseberries, 1 cup, 252, 184
Canned Grapefruit, 1 cup, 249, 92
Canned Grapes, 1 cup, 256, 195
Canned Mandarin Oranges, 1 container, 113, 80
Canned Mango, 1 cup, 165, 107
Canned Mangosteen, 1 cup, 216, 158
Canned Mixed Fruit, 1 can, 113, 80
Canned Morello Cherries, 1 cup, 270, 219
Canned Oranges, 1 can, 113, 70
Canned Peaches, 1/2 peach, 98, 53
Canned Pears, 1 cup, 284, 99
Canned Pineapple, 1 cup, 232, 139
Canned Plums, 1 plum, 46, 27
Canned Raspberries, 1 cup, 256, 233
Canned Sliced Pineapple, 1 cup, 225, 119
Canned Sour Cherries, 1 cup, 261, 298
Canned Strawberries, 1 cup, 254, 234
Canned Tangerines, 1 cup, 252, 154
Dried Fruit, 2 oz., 56, 136
