name, serving_quantity, grams_per_serving, cal
Amaranth, 1 cup, 193, 716
Barley, 1 cup, 157, 556
Barley Groats, 1 cup, 31, 31
Brown Rice, 1 cup, 195, 757
Buckwheat, 1 cup, 170, 583
Buckwheat Groats, 1 cup, 164, 567
Corn Waffles, 1 waffle, 40, 110
Cornmeal, 1 cup, 122, 442
Cornstarch, 1 cup, 128, 488
Couscous, 1 cup, 173, 650
Cracker, 1 cracker, 7, 35
Durum Wheat Semolina, 1 tbsp, 30, 119
Flaxseed, 1 cup, 168, 897
Freekeh, 1 cup, 160, 832
Gluten, 1 oz., 28, 104
Grissini, 1 grissini, 5, 20
Kamut, 1 cup, 186, 627
Millet, 1 cup, 128, 484
Millet Flour, 1 cup, 140, 521
Millet Gruel, 1 cup, 174, 80
Oat Bran, 1 cup , 94, 231
Pearl Barley, 1 cup, 157, 553
Polenta, 1 cup, 150, 549
Prawn Crackers, 1 cracker, 3, 16
Pretzel Sticks, 20 sticks, 12, 46
Quinoa, 1 cup, 170, 626
Rusk, 1 rusk, 10, 41
Rye Bran, 1 cup, 150, 422
Sago, 1 oz., 28, 99
Savoury Biscuits, 40 grams, 40, 139
Shortbread, 1 cookie, 19, 95
Spelt, 1 cup, 174, 588
Spelt Bran, 1 cup, 160, 283
Spelt Semolina, 1 cup, 167, 601
Sunflower Seeds, 1 cup, 140, 818
Tortilla, 1 tortilla, 197, 467
Tortilla Chips, 20 chips, 32, 160
Wheat Bran, 1 cup, 58, 125
Wheat Germ, 1 cup, 113, 432
Wheat Gluten, 1 tsp, 3, 10
Wheat Semolina, 1 cup, 167, 601
Wheat Starch, 1 cup, 110, 386
Whole Grain Wheat, 1 cup, 120, 407
Wholegrain Oat, 1 cup, 80, 300
