name, serving_quantity, grams_per_serving, cal
American Cheese, 1 slice, 21, 31
Applewood, 1 slice, 20, 82
Asiago Cheese, 1 oz., 28.35, 110
Babybel, 1 piece, 21, 70
Blue Cheese, 1 oz., 28.35, 99
Brie, 1 slice, 30, 100
Camembert, 1 slice, 30, 90
Cheddar, 1 slice, 22, 89
Cheese Fondue, 1 packet, 400, 912
Cheese Spread, 1 tbsp, 15, 44
Cheese Whiz, 1 tbsp, 33, 91
Chester, 1 oz., 28.35, 108
Colby Cheese, 1 cup, 132, 520
Colby-Jack Cheese, 1 cup, 132, 520
Cottage Cheese, 1 cup, 210, 206
Dutch Cheese, 1 oz., 28.35, 110
Edam Cheese, 1 package, 198, 707
Emmentaler, 1 slice, 25, 89
Feta, 1 oz., 28.35, 74
Fontina, 1 slice, 30, 117
Fresh Mozzarella, 1 slice, 28, 78
Gjetost, 1 package, 227, 1058
Goat Cheese, 1 oz., 28.35, 102
Gorgonzola, 1 oz., 28.35, 98
Gouda, 1 package, 198, 705
Grated Parmesan, 1 tsp, 5, 22
Grilled Cheese, 1 piece, 83, 291
Gruyere, 1 slice, 25, 103
Halloumi, 1 oz., 28.35, 90
Havarti, 1 slice, 28, 104
Italian Cheese, 1 serving, 30, 119
Jarlsberg, 1 oz., 28.35, 99
Maasdam Cheese, 1 slice, 18, 62
Manchego Cheese, 1 serving, 28, 90
Monterey, 1 cup, 132, 492
Monterey Jack Cheese, 1 cup, 132, 492
Mozzarella, 1 slice, 28, 78
Muenster Cheese, 1 slice, 28, 103
Neufchatel, 1 package, 85, 215
Parmesan, 1 tsp, 5, 22
Pecorino, 1 tbsp, 5, 19
Provolone, 1 slice, 28, 98
Raclette Cheese, 1 slice, 25, 89
Ricotta, 1 cup, 246, 428
Romano, 5 package, 142, 550
Roquefort, 1 oz., 28.35, 103
Sheep Cheese, 1 oz., 28.35, 102
Soft Cheese, 1 oz., 28.35, 75
Stilton Cheese, 1 oz., 28.35, 110
String Cheese, 1 stick, 28, 70
Swiss Cheese, 1 slice, 25, 95
White Cheddar, 1 cup, 132, 532
Wisconsin Cheese, 1 oz., 28.35, 109
