name, serving_quantity, grams_per_serving, cal
Baked Ham, 1 slice, 21, 72
Beef Salami, 1 slice, 10, 38
Boiled Ham, 1 slice, 21, 26
Bologna, 1 slice, 23, 57
Bresaola, 1 slice, 9, 16
Capicola, 1 slice, 21, 23
Chicken Breast Fillet, 1 slice, 21, 17
Chopped Ham, 1 slice, 28, 50
Chorizo, 1 oz., 28.35, 127
Corned Beef, 1 slice, 21, 53
Dutch Loaf, 1 slice, 21, 56
Ham, 1 slice, 23, 33
Ham Sausage, 1 slice, 23, 38
Head Cheese, 1 slice, 28, 44
Hickory Ham, 1 slice, 21, 39
Honey Ham, 1 slice, 22, 27
Liverwurst, 1 slice, 18, 59
Olive Loaf, 1 slice, 23, 53
Oven-Roasted Turkey Breast, 1 slice, 21, 22
Parma Ham, 1 slice, 11, 38
Pastrami, 1 slice, 29, 39
Pepperoni, 1 slice, 2, 10
Pimento Loaf, 1 slice, 28, 74
Pork Roast, 1 slice, 21, 52
Prosciutto, 1 slice, 9, 18
Roast Beef, 1 slice, 21, 56
Salami, 1 slice, 12.3, 40
Serrano Ham, 1 slice, 15, 45
Smoked Ham, 1 slice, 21, 22
Smoked Turkey Breast, 1 slice, 21, 22
Summer Sausage, 1 slice, 21, 63
Tongue, 1 slice, 28, 80
Turkey Breast, 1 slice, 21, 22
Turkey Ham, 1 slice, 21, 26
Turkey Salami, 1 slice, 23, 35
