name, serving_quantity, grams_per_serving, cal
Chive Cream Cheese, 1 tbsp, 14.5, 48
Cottage Cheese, 1 cup, 226, 221
Cream Cheese, 1 tbsp, 14.5, 48
Cream Cheese with Herbs, 1 tbsp, 14.5, 48
Feta Cream Cheese, 1 tbsp, 14.5, 48
Garlic Cream Cheese, 1 tbsp, 14.5, 48
Goat Cheese, 1 tsp, 10, 36
Horseradish, 1 tbsp, 15, 7
Mascarpone, 1 tbsp, 14.5, 63
Obatzda, 1 tbsp, 15, 45
Olive Cream Cheese, 1 tbsp, 14.5, 48
Pesto Cream Cheese, 1 tbsp, 14.5, 48
Philadelphia Cream Cheese, 1 tbsp, 14.5, 48
Pineapple Cream Cheese, 1 tbsp, 14.5, 48
Salmon Cream Cheese, 1 tbsp, 14.5, 48
Vegetable Cream Cheese, 1 tbsp, 14.5, 48
Walnut Cream Cheese, 1 tbsp, 14.5, 48
