name, serving_quantity, grams_per_serving, cal
Baby Back Ribs, 1 serving, 139, 360
Bacon and Eggs, 1 serving, 214, 539
Baked Beans, 1 cup, 260, 244
Baked Chicken, 1 breast, 172, 282
BBQ Ribs, 1 rib, 141, 360
Beef Stew, 1 cup, 196, 186
Biryani, 1 cup, 275, 484
Black Pudding, 1 pudding, 40, 101
Black Rice, 1/2 cup, 100, 323
BLT, 1 item, 240, 593
Brown Rice, 1 cup, 185, 670
Burrito, 1 burrito, 200, 326
Butter Chicken, 1 tray, 350, 490
California Roll, 1 roll, 35, 33
Chicken Caesar Salad, 1 salad, 309, 392
Chicken Fried Steak, 1 steak , 280, 423
Chicken Marsala, 1 serving, 2301, 2209
Chicken Parmesan, 1 piece, 227, 250
Chicken Pot Pie, 1 pie, 302, 673
Chicken Tikka Masala, 1 serving, 241, 195
Chili con Carne, 1 cup, 253, 266
Chimichanga, 1 item, 180, 418
Cobb Salad, 1 serving, 536, 632
Collard Greens, 1 cup, 45, 13
Corn Dog, 1 item, 175, 438
Corned Beef Hash, 1 can, 213, 349
Cottage Pie, 1 pie, 376, 523
Dal, 1/2 cup, 92, 304
Deviled Eggs, 1/2 egg, 31, 62
Dim Sum, 1 piece, 19, 37
Dosa, 1 serving, 435, 287
Enchiladas, 1 enchilada, 192, 323
Fajita, 1 serving, 248, 290
Fish and Chips, 1 serving, 300, 585
Fried Rice, 1 serving, 356, 662
Fried Shrimp, 1 shrimp, 27, 75
Grilled Cheese Sandwich, 1 sandwich, 136, 392
Ham and Cheese Sandwich, 1 sandwich, 146, 352
Hummus, 1 cup, 246, 435
Jambalaya, 1 cup, 250, 250
Kebab, 1 kebab, 360, 774
Lasagne, 1 serving, 215, 284
Mac and Cheese, 1 serving, 189, 699
Macaroni and Cheese, 1 serving, 189, 699
Mashed Potatoes, 1 cup, 210, 174
Meat Pie, 1 pie, 120, 290
Meatloaf, 1 loaf, 284, 721
Naan, 1 bread, 84, 260
Orange Chicken, 1 serving, 162, 420
Pad Thai, 1 cup, 250, 375
Paella, 1/2 package, 128, 200
Paratha, 1 paratha, 80, 260
Pea Soup, 1 cup, 253, 190
Peanut Butter Sandwich, 1 sandwich, 49, 200
Peking Duck, 1/2 duck, 178, 401
Philly Cheese Steak, 1 sandwich, 120, 300
Pizza, 1 slice, 102, 272
Pork Chop, 1 chop, 131, 295
Potato Salad, 1/3 cup, 95, 136
Pulled Pork Sandwich, 1 sandwich, 261, 551
Ramen, 1 package/dry, 85, 380
Ravioli, 5 ravioli, 66, 134
Reuben Sandwich, 1 sandwich, 308, 641
Roast Beef, 1 slice, 21, 23
Roast Dinner, 1 slice, 121, 240
Samosa, 1 samosa, 50, 107
Sausage Roll, 1 roll, 103, 361
Sausage Rolls, 1 roll, 34, 101
Shepherds Pie, 1 pie, 227, 159
Shrimp Cocktail, 1 oz., 28, 130
Sloppy Joe, 1/2 cup, 142, 101
Sloppy Joes, 1 bun, 258, 397
Spaghetti Bolognese, 1 serving, 283, 374
Spring Roll, 1 roll, 140, 350
Spring Rolls, 1 roll, 140, 350
Taco, 1 taco, 98, 213
Tandoori Chicken, 1 serving, 175, 198
Yorkshire Pudding, 1 pudding, 15, 83
