name, serving_quantity, grams_per_serving, cal
Arby’s Grand Turkey Club, 1 sandwich, 233, 489
Arby’s Reuben, 1 sandwich, 308, 641
Arby’s Roast Beef Classic, 1 burger, 154, 360
Arby’s Roast Beef Max, 1 burger, 154, 360
BBQ Rib, 1 rib, 67, 142
Bean Burrito, 1 burrito, 190, 380
Big N’ Tasty, 1 sandwich, 232, 517
Bratwurst, 1 piece, 85, 283
Burger King Angry Whopper, 1 burger, 290, 740
Burger King Double Whopper, 1 burger, 374, 894
Burger King Double Whopper with Cheese, 1 sandwich, 399, 994
Burger King Original Chicken Sandwich, 1 sandwich, 219, 659
Burger King Premium Alaskan Fish Sandwich, 1 burger, 228, 591
Burger King Triple Whopper, 1 burger, 547, 1471
Burger King Whopper, 1 burger, 291, 672
Burger King Whopper Jr., 1 burger, 148, 346
Burger King Whopper with Cheese, 1 burger, 315, 759
Cheeseburger, 1 burger, 156, 410
Chicken Breast, 1 piece, 71, 116
Chicken Fajita, 1 sandwich, 222, 326
Chicken McNuggets, 1 nugget, 16, 48
Chicken Nuggets, 1 piece, 20, 59
Chicken Pizziola, 1 sandwich, 320, 451
Chicken Sandwich, 1 sandwich, 170, 410
Chicken Teriyaki Sandwich, 1 sandwich, 266, 367
Chicken Wings, 1 piece, 29, 94
Chop Suey, 1 serving, 340, 585
Curly Fries, 1 serving, 128, 398
Double Cheeseburger, 1 burger, 155, 414
Egg Roll, 1 roll, 80, 200
Falafel, 1 patty, 17, 57
Filet-o-Fish, 1 sandwich, 142, 400
Fish and Chips, 1 serving, 300, 585
Fish Sandwich, 1 sandwich, 158, 431
French Fries, 1 serving, 71, 222
Grilled Chicken Salad, 1 salad, 305, 268
Ham Sandwich, 1 sandwich, 146, 352
Hamburger, 1 sandwich, 110, 279
Hot Dog, 1 hot dog, 116, 312
Italian BMT, 1 sandwich, 224, 410
Lasagna, 1 piece, 130, 172
McDonald’s Big Mac, 1 burger, 219, 561
McDonald’s Cheeseburger, 1 sandwich, 114, 300
McDonald’s Chicken Nuggets, 1 nugget, 16, 48
McDonald’s Double Cheeseburger, 1 burger, 155, 437
McDonald’s Filet-o-Fish, 1 sandwich, 142, 391
McDonald’s McChicken, 1 burger, 143, 359
McDonald’s McDouble, 1 burger, 160, 403
McDonald’s McMuffi Egg, 1 burger, 129, 290
McDonald’s McRib, 1 sandwich, 170, 451
McDonald’s Mighty Wings, 1 wing, 31, 95
McRib, 1 sandwich, 170, 451
Meatball Sandwich, 1 sandwich, 299, 481
Nachos with Cheese, 10 nachos, 188, 575
Onion Rings, 1 ring, 6.5, 25
Poutine, 1 serving, 225, 511
Smoked Salmon, 1 oz., 28.35, 44
Spicy Italian, 1 sandwich, 219, 480
Subway Club Sandwich, 1 sandwich, 238, 312
Tortilla Wrap, 1 wrap, 63, 171
Tuna, 1 oz., 28.35, 24
Turkey, 1 oz., 28.35, 29
Veggie Burger, 1 burger, 215, 389
Veggie Delight, 1 sandwich, 166, 229
Veggie Patty, 1 sandwich, 247, 963
Wendy’s Baconator, 1 burger, 276, 839
Wendy’s Jr. Bacon Cheeseburger, 1 burger, 161, 420
Wendy’s Jr. Cheeseburger, 1 burger, 129, 290
Wendy’s Son of Baconator, 1 burger, 218, 700
Whopper, 1 burger, 291, 672
Zinger, 1 sandwich, 202, 517
Zinger Burger, 1 sandwich, 202, 517
