name, serving_quantity, grams_per_serving, cal
Anchovy, 3 oz., 85, 111
Bluefish, 1 fillet, 117, 186
Bream, 1 serving, 125, 169
Butterfish, 1 fillet, 25, 47
Calamari, 1 piece, 12, 21
Carp, 1 fillet, 170, 275
Caviar, 1 tbsp, 16, 42
Clam, 3 oz., 85, 126
Cod, 1 fillet, 180, 189
Crawfish, 1 crawfish, 12, 10
Crayfish, 3 oz., 85, 74
Eel, 1 oz., 28.4, 66
Fish Fingers, 1 stick, 28, 81
Fish Sticks, 1 stick, 28, 81
Flounder, 1 fillet, 127, 109
Grouper, 1 fillet, 202, 238
Haddock, 1 fillet, 150, 135
Hake, 1 fillet, 113, 80
Halibut, 1/2 fillet, 200, 222
Herring, 1 fillet, 143, 290
Hoki, 1 serving, 70, 85
Kipper, 1 fillet, 40, 87
Ling, 1 fillet, 151, 165
Lobster, 1 lobster, 150, 134
Mackerel, 1 fillet, 88, 231
Milkfish, 3 oz., 85, 162
Monkfish, 3 oz., 85, 82
Mullet, 1 fillet, 93, 140
Mussel, 3 oz., 85, 146
Octopus, 3 oz., 85, 139
Pickerel, 1 fillet, 127, 141
Pickled Herring, 1 cup, 140, 367
Pike, 1/2 fillet, 155, 175
Plaice, 1 serving, 100, 91
Pollack, 1/2 fillet, 151, 168
Red Snapper, 1 fillet, 170, 218
Redfish, 1 serving, 57, 54
Rollmops, 1 rollmops, 65, 111
Salmon, 1/2 fillet, 178, 367
Sardines, 1 cup, 149, 310
Scallops, 1 scallop, 10, 11
Scampi, 1 scampi, 10, 8
Sea Bass, 1 fillet, 124, 154
Shad, 1 fillet, 144, 363
Shark, 3 oz., 85, 111
Smelt, 3 oz., 85, 105
Sole, 1 fillet, 127, 109
Squid, 1 oz., 28.4, 26
Sturgeon, 1 cup, 136, 184
Sushi, 1 piece, 26, 39
Swordfish, 1 piece, 106, 182
Triggerfish, 1 oz., 28.4, 26
Trout, 1 fillet, 62, 118
Tuna, 1/2 fillet, 154, 203
Tuna Salad, 1 cup, 205, 383
Turbot, 1/2 fillet, 159, 194
Wahoo, 1 serving, 100, 167
Whitefish, 1 fillet, 154, 265
Whiting, 1 fillet, 72, 84
Zander, 1 fillet, 62, 52
