name, serving_quantity, grams_per_serving, cal
Acai, 1 oz., 28.35, 20
Apple, 1 apple, 182, 95
Applesauce, 1 cup, 246, 167
Apricot, 1 apricot, 35, 17
Avocado, 1 avocado, 200, 320
Banana, 1 banana, 125, 111
Blackberries, 1 cup, 144, 62
Blood Oranges, 1 serving, 140, 70
Blueberries, 1 cup, 148, 84
Cantaloupe, 1 wedge, 69, 23
Cherries, 1 cherry, 8, 4
Clementine, 1 clementine, 74, 35
Cranberries, 1 cup, 100, 46
Currants, 1 cup, 112, 63
Custard Apple, 1 custard apple, 135, 136
Dates, 1 date, 7.1, 20
Figs, 1 fig, 50, 37
Fruit salad, 1 cup, 249, 125
Grapes, 1 cup, 151, 104
Greengage, 1 fruit, 5, 2
Guava, 1 guava, 55, 37
Jackfruit, 1 cup, 151, 143
Jujube, 1 oz., 28.35, 22
Kiwi, 1 liwi, 183, 112
Lemon, 1 lemon, 58, 17
Lime, 1 lime, 67, 20
Lychees, 1 lychee, 10, 7
Mandarin Oranges, 1 mandarin orange, 88, 47
Mango, 1 mango, 336, 202
Minneola, 1 minneola, 109, 70
Mulberries, 1 cup, 140, 60
Nectarine, 1 nectarine, 150, 66
Olives, 1 olive, 2.7, 2
Orange, 1 orange, 131, 62
Papaya, 1 fruit, 500, 215
Passion Fruit, 1 passoin fruit, 18, 17
Peach, 1 peach, 150, 59
Pear, 1 pear, 178, 101
Persimmon, 1 fruit, 25, 32
Physalis, 1 berry, 5, 2
Pineapple, 1 pineapple, 905, 453
Plantains, 1 plantain, 179, 218
Plum, 1 plum, 66, 30
Pomegranate, 1 pomegranate, 282, 234
Quince, 1 quince, 92, 52
Raisins, 1 cup, 145, 434
Rambutan, 1 rambutan, 9, 7
Raspberries, 1 cup, 123, 64
Rhubarb, 1 stalk, 51, 11
Starfruit, 1 star fruit, 91, 28
Strawberries, 1 cup, 152, 49
Tamarind, 1 tamarind, 2, 5
Tangerine, 1 tangerine, 88, 47
Watermelon, 1 wedge, 286, 86
