name, serving_quantity, grams_per_serving, cal
Almond Extract, 1 tbsp, 10, 37
Anise, 1 tsp, 2.1, 7
Anise Seed, 1 tsp, 2.1, 7
Arrowroot, 1 root, 33, 21
Arugula, 1 leaf, 2, 1
Balsamic Vinegar, 1 tbsp, 16, 14
Basil, 1 tsp, 0.7, 0
Black Pepper, 1 tsp, 2.4, 5
Black Sesame Seeds, 1 tbsp, 9, 52
Broth, 1 tsp, 5, 5
Capers, 1 tbsp, 8.6, 2
Caraway Seeds, 1 tbsp, 6.7, 20
Cardamom, 1 tbsp, 5.8, 16
Cassava, 1 root, 408, 653
Cayenne Pepper, 1 tsp, 1.8, 3
Chard, 1 leaf, 48, 9
Chicory Greens, 1 cup, 29, 7
Chicory Roots, 1 root, 60, 43
Chili, 1 tbsp, 8, 23
Chili Powder, 1 tsp, 2.7, 6
Chives, 1 tbsp, 3, 1
Cider Vinegar, 1 tbsp, 14, 3
Cilantro, 1/4 cup, 4, 1
Cinnamon, 1 tbsp, 7.9, 17
Cloves, 1 tbsp, 6.5, 16
Coriander, 1/4 cup, 4, 1
Cream of Tartar, 1 tsp, 3, 8
Cress, 1 sprig, 1, 0
Crystallized Ginger, 1 tbsp, 5.2, 17
Cumin, 1 tbsp, 6, 23
Cumin Seed, 1 tbsp, 6, 23
Curry, 1 tbsp, 6.3, 20
Dandelion, 1 cup, 55, 25
Dill, 5 sprigs, 1, 0
Dill Weed, 5 sprigs, 1, 0
Fennel, 1 bulb, 234, 73
Fennel Seed, 1 tsp, 2, 7
Fenugreek, 1 tbsp, 11.1, 36
Garlic, 1 clove, 3, 4
Garlic Powder, 1 tsp, 3.1, 10
Garlic Salt, 1/4 tsp, 1, 0
Ginger, 1 tsp, 2, 2
Grape Leaves, 1 leaf, 3, 3
Ground Ginger, 1 tbsp, 5.2, 17
Horseradish, 1 tbsp, 15, 7
Hot Pepper, 1 tsp, 1.8, 3
Iodized Salt, 1 tbsp, 18, 0
Jalapeno, 1 oz., 30, 4
Juniper, 1 cup, 55, 25
Lemon Grass, 1 tbsp, 4.8, 4
Licorice, 1 tbsp, 18, 68
Maggi, 1 tsp, 4, 4
Marjoram, 1 tbsp, 1.7, 3
Minced Onion, 1 cup, 160, 64
Mint, 1 tbsp, 1.6, 1
Mustard Seed, 1 tsp, 2, 10
Nutmeg, 1 tsp, 2.2, 11
Okra, 1 tbsp, 18, 6
Onion, 1 onion, 85, 34
Onion Powder, 1 tsp, 2.4, 7
Orange Peel, 1 tbsp, 6, 6
Oregano, 1 tsp, 1, 3
Paprika, 1 tsp, 2.3, 6
Parsley, 1 tbsp, 3.8, 1
Parsnip, 1 parsnip, 170, 128
Pepper, 1 tsp, 2.4, 5
Poppy Seed, 1 tbsp, 8.8, 42
Poultry Seasoning, 1 tbsp, 4.4, 12
Pumpkin Pie Spice, 1 tbsp, 5.6, 17
Red Pepper, 1 tsp, 3, 8
Red Wine Vinegar, 1 tbsp, 14.9, 3
Rosemary, 1 tbsp, 1.7, 1
Saffron, 1 tbsp, 2.1, 6
Sage, 1 tbsp, 2, 6
Salt, 1 tbsp, 18, 0
Savory, 1 tbsp, 4.4, 11
Sea Salt, 1 tbsp, 18, 0
Serrano Pepper, 1 pepper, 6.1, 2
Sesame Seeds, 1 cup, 144, 825
Stevia, 1 tbsp, 15, 0
Tamarind, 1 tamarind, 2, 5
Taro, 1 cup/sliced, 104, 116
Tarragon, 1 tbsp, 1.8, 3
Thyme, 1 tsp, 1, 3
Turmeric, 1 tsp, 2.2, 7
Vanilla Bean, 1 pod, 2, 5
Vanilla Extract, 1 tbsp, 13, 37
Vinegar, 1 tbsp, 14, 3
White Pepper, 1 tsp, 2.4, 6
Yam, 1 cup, 150, 177
