name, serving_quantity, grams_per_serving, cal
Baskin-Robbins, 1 scoop, 71, 170
Ben and Jerry’s, 1 scoop, 92, 210
Butter Pecan Ice Cream, 1 scoop, 113, 280
Carvel, 1 cup, 212, 449
Chocolate Chip Ice Cream, 1 scoop, 72, 155
Chocolate Ice Cream, 1 scoop, 72, 156
Ciao Bella, 1 cup, 220, 240
Coffee Ice Cream, 1 scoop, 72, 170
Cold Stone Creamery, 1 scoop, 142, 329
Cookie Dough Ice Cream, 1/2 cup, 65, 130
Crunchie McFlurry, 1 mcflurry, 183, 318
Dairy Milk McFlurry, 1 mcflurry, 183, 340
Dippin Dots, 1 cup, 170, 381
Double Rainbow, 1 scoop, 72, 185
Drumsticks, 1 cone, 141, 360
French Vanilla Ice Cream, 1 scoop, 72, 145
Friendly’s, 1 scoop, 66, 140
Healthy Choice, 1 bar, 64, 80
Hot Fudge Sundae, 1 sundae, 179, 333
Ice Cream Sandwich, 1 bar, 112, 265
Ice Cream Sundae, 1 sundae, 178, 253
Ice Milk, 1 scoop, 103, 164
Magnolia, 1 scoop, 72, 166
Magnum, 1 magnum, 86, 258
Magnum Almond, 1 magnum, 86, 271
Magnum Double Caramel, 1 magnum, 86, 305
Magnum Double Chocolate, 1 magnum, 86, 327
Magnum Gold, 1 magnum, 85, 290
Magnum White, 1 magnum, 86, 255
McFlurry, 1 mcflurry, 134, 205
McFlurry Oreo, 1 mcflurry, 183, 340
Mini Milk, 1 mini milk, 25, 30
Mint Chocolate Chip Ice Cream, 1 scoop, 72, 172
Rocky Road Ice Cream, 1 scoop, 113, 290
Schwan’s, 1 scoop, 72, 177
Smarties McFlurry, 1 mcflurry, 202, 400
Snickers Ice Cream, 1 bar, 50, 180
Soft Serve, 1 cup, 86, 191
Solero, 1 solero, 75, 75
Strawberry Ice Cream, 1 scoop, 72, 170
Strawberry Sundae, 1 sundae, 178, 281
Sundae, 1 scoop, 72, 155
Turkey Hill, 1 sandwich, 70, 190
Vanilla Cone, 1 cone, 142, 230
Vanilla Ice Cream, 1 scoop, 72, 145
