name, serving_quantity, grams_per_serving, cal
Azuki Bean, 1 can, 266, 330
Bamboo Shoots, 1 cup, 151, 41
Bean Curd, 1/2 cup, 124, 94
Bean Sprouts, 1 cup, 104, 31
Bengal Gram, 1 cup, 200, 728
Black Beans, 1 tbsp, 12.1, 41
Black Chickpeas, 1 cup, 200, 728
Black Gram, 1 cup, 207, 706
Brown Lentil, 1 cup, 192, 678
Butternut, 1 cup, 120, 734
Chickpeas, 1 tbsp, 12.5, 44
Chili Bean, 1 cup, 253, 245
Dal, 1 serving, 100, 230
Deep-Fried Tofu, 1 oz., 28.35, 76
Extra-Firm Tofu, 1/5 block, 91, 83
Firm Tofu, 1/4 block, 81, 57
Flageolet, 1 serving, 100, 85
Fried Bean Curd, 1 piece, 13, 35
Green Beans, 1 cup, 100, 31
Green Gram, 1 cup, 207, 718
Green Lentil, 1 cup/dry, 60, 154
Kidney Beans, 1 cup, 184, 620
Lentils, 1 cup, 192, 678
Lima Beans, 1/2 cup, 124, 88
Marron, 1 serving, 100, 210
Miso, 1 cup, 275, 547
Mung Beans, 1 cup, 125, 15
Natto, 1 cup, 175, 371
Navy Bean, 1 cup, 208, 701
Okara, 1 cup, 122, 94
Okra, 1 cup, 100, 33
Peanuts, 1 oz., 28.35, 159
Peas, 1 cup, 63, 26
Pecan, 1 cup, 99, 684
Pinto Beans, 1 cup, 193, 670
Puy Lentils, 1 serving, 100, 345
Rajma, 1 serving, 100, 140
Red Beans, 1 can, 266, 330
Red Kidney Bean, 1 cup, 184, 620
Red Lentils, 1 cup, 197, 648
Refried Beans, 1 can, 443, 403
Roasted Soybeans, 1 cup, 172, 810
Silken Tofu, 1 slice, 84, 46
Soft Tofu, 1 cubic inch, 18, 11
Soy Cheese, 1 slice, 17, 40
Soy Mayonnaise, 1 tbsp, 15, 48
Soy Nut Butter, 1 serving, 32, 180
Soy Nuts, 1 cup, 256, 1206
Soy Yogurt, 1 container, 227, 150
Soya Cheese, 1 slice, 17, 40
Soybeans, 1 cup, 256, 376
Soynut Butter, 1 serving, 32, 180
Sugar Peas, 1 serving, 100, 42
Sweet Peas, 1 serving, 100, 48
Tempeh, 1 cup, 166, 320
Textured Soy Protein, 1 cup, 56, 320
Textured Vegetable Protein, 1 cup, 96, 320
Tofu, 1/2 cup, 124, 94
White Beans, 1 cup, 215, 722
Yam Bean, 1 cup, 130, 49
Yellow Lentils, 1 cup, 200, 608
Yuba, 1 oz., 28.35, 49
