name, serving_quantity, grams_per_serving, cal
Almond Milk, 1 cup, 235, 40
Buttermilk, 1 cup, 254, 157
Chocolate Mousse, 1/2 cup, 202, 455
Coconut Milk, 1 cup, 240, 552
Coffee Creamer, 1 tbsp, 15, 29
Condensed Milk, 1 cup, 306, 982
Cottage Cheese, 1 cup, 210, 206
Cream, 1 tbsp, 15, 36
Creme Fraiche, 1 tbsp, 14, 55
Curd, 1 cup, 210, 206
Custard, 1/2 cup, 141, 172
Evaporated Milk, 1 cup, 252, 340
Goat Milk, 1 cup, 244, 168
Hot Chocolate, 1 cup, 266, 237
Kefir, 1 cup, 246, 135
Lactose-free Milk, 1 cup, 250, 130
Lassi, 1 glass, 200, 150
Milk, 1 cup, 244, 149
Plain Yogurt, 1 container, 227, 138
Powdered Milk, 1 cup, 68, 337
Quark, 1 cup, 220, 319
Rice Milk, 1 cup, 245, 120
Rice Pudding, 1 serving, 113, 133
Semi-skimmed Milk, 1 serving, 250, 125
Semolina Pudding, 1 serving, 143, 96
Skim Milk, 1 cup, 247, 86
Sour Cream, 1 tbsp, 12, 22
Soy Milk, 1 cup, 243, 109
Sweetened Condensed Milk, 1 cup, 306, 982
Tzatziki, 1 tbsp, 15, 18
Whipped Cream, 1 tbsp, 3, 8
Whole Milk, 1 cup, 244, 149
Yogurt, 1 container, 227, 138
