name, serving_quantity, grams_per_serving, cal
ACE Drink, 1/2 litre, 500, 220
Apple Spritzer, 1/2 litre, 500, 120
Chai, 1 cup, 236, 0
Chai Tea, 1 cup, 236, 0
Chocolate Milk, 1 cup, 266, 237
Chocolate Milkshake, 10 fl. oz., 283, 354
Club Mate, 1/2 litre, 500, 150
Coca Cola, 1 can, 330, 139
Coffee, 1 cup, 237, 2
Coke Zero, 1 can, 330, 3
Cola, 1 can, 330, 139
Crystal Light, 8 fl. oz., 237, 623
Diet Coke, 1 can, 330, 3
Egg Cream, 1 serving, 125, 118
Egg Nog, 1 cup, 254, 224
Elderflower Cordial, 8 oz., 227, 66
Evian, 1 bottle, 500, 0
Gatorade, 12 fl. oz., 355, 82
Ginger Tea, 1 cup, 254, 0
Hawaiian Punch, 8 oz., 227, 70
Hi-C, 12 fl. oz., 253, 124
Horchata, 8 fl. oz., 240, 130
Hot Chocolate, 1 cup, 266, 237
Ice Tea, 12 fl. oz., 355, 96
Iced Tea, 12 fl. oz., 355, 96
Karamalz, 1 cup, 237, 88
Kombucha, 8 oz., 227, 30
Kool-Aid, 8 fl. oz., 237, 62
Lassi, 1 cup, 250, 260
Latte Macchiato, 1 cup, 300, 171
Lemonade, 12 fl. oz., 355, 149
Malt Beer, 1 cup, 237, 88
Milk, 1 cup, 244, 149
Milkshake (dry), 1 tbsp, 7, 23
Milo, 3 tbsp, 24, 98
Nectar, 8 oz., 227, 120
Nestea, 1 cup, 240, 86
Non-alcoholic Beer, 1 can/bottle, 354, 131
Powerade, 1 bottle, 500, 80
Slurpee, 8 oz., 240, 10
Slush Puppie, 8 fl. oz., 237, 119
Smoothie, 8 oz., 240, 89
Soy Milk, 1 cup, 243, 109
Strawberry Milkshake, 10 fl. oz., 283, 320
Tang, 1/8 cup, 24, 91
Tap Water, 1 fl. oz., 29.6, 0
Tea, 1 cup, 237, 2
Vanilla Milkshake, 10 fl. oz., 283, 422
Volvic, 1/2 litre, 500, 0
Water, 1 fl. oz., 29.6, 0
Yerba Mate, 1 serving, 50, 31
