name, serving_quantity, grams_per_serving, cal
Acorn, 1 oz., 28.35, 108
Alfalfa Sprouts, 1 cup, 33, 8
Almonds, 1 cup, 95, 546
Beechnut, 1 oz., 28.35, 161
Brazil Nuts, 1 cup, 133, 872
Breadfruit, 1 oz., 28.35, 53
Butternut, 1 cup, 120, 734
Cashew, 1 oz., 28.35, 155
Chestnut, 1 cup, 145, 309
Chia Seeds, 1 oz., 28.35, 136
Coconut, 1 coconut, 397, 1405
Cotton Seeds, 1 cup, 149, 754
Flaxseed, 1 cup, 168, 897
Ginkgo Nuts, 1 oz., 28.35, 51
Goa Bean, 1 cup, 182, 744
Hazelnut, 1 cup, 75, 471
Hickory Nuts, 1 cup, 120, 788
Lima Beans, 1/2 cup, 124, 88
Lotus Seed, 1 oz., 28.35, 25
Macadamia Nuts, 1 cup, 134, 962
Peanuts, 1 cup, 146, 828
Peas, 1 cup, 145, 117
Pecan Nuts, 1 cup, 99, 684
Pecans, 1 cup, 99, 684
Pili Nuts, 1 cup, 120, 863
Pine Nuts, 1 cup, 135, 909
Pinto Beans, 1 cup, 193, 670
Pistachios, 1 cup, 123, 691
Poppy Seeds, 1 tbsp, 8.8, 42
Pumpkin Seeds, 1 cup, 129, 721
Radish Seeds, 1 cup, 38, 16
Safflower Seeds, 1 oz., 28.35, 145
Sesame Seeds, 1 cup, 144, 825
Smoked Almonds, 1 cup, 95, 546
Soy Beans, 1 cup, 256, 376
Sunflower Seeds, 1 cup, 140, 818
Sweet Chestnut, 1 oz., 28.35, 54
Walnuts, 1 cup, 80, 523
Watermelon, 1 wedge, 286, 86
