name, serving_quantity, grams_per_serving, cal
Bran Flakes, 1 serving, 37.5, 132
Cap’n Crunch, 1 serving, 37.5, 149
Cheerios, 1 serving, 37.5, 128
Chex, 1 serving, 37.5, 143
Chocolate Cheerios, 1 serving, 37.5, 136
Chocos, 1 serving, 37.5, 141
Cinnamon Toast Crunch, 1 serving, 37.5, 160
Coco Pops, 1 serving, 37.5, 139
Cocoa Krispies, 1 serving, 37.5, 143
Cocoa Pebbles, 1 serving, 37.5, 136
Cocoa Puffs, 1 serving, 37.5, 148
Cookie Crisp, 1 serving, 37.5, 148
Corn Flakes, 1 serving, 37.5, 132
Corn Pops, 1 serving, 37.5, 139
Count Chocula, 1 serving, 37.5, 151
Cracklin Oat Bran, 1 serving, 37.5, 149
Cream of Wheat, 1 serving, 37.5, 135
Crunchy Nut, 1 serving, 37.5, 222
Crunchy Nut Cornflakes, 1 serving, 37.5, 222
Fiber One, 1 serving, 37.5, 99
Froot Loops, 1 serving, 37.5, 140
Frosted Cheerios, 1 serving, 37.5, 145
Frosted Flakes, 1 serving, 37.5, 136
Frosted Mini-Wheats, 1 serving, 37.5, 131
Frosties, 1 serving, 37.5, 136
Fruity Pebbles, 1 serving, 37.5, 148
Golden Grahams, 1 serving, 37.5, 148
Grape-Nuts, 1 serving, 37.5, 134
Honey Nut Cheerios, 1 serving, 37.5, 145
Honey Smacks, 1 serving, 37.5, 137
Honeycomb, 1 serving, 37.5, 147
Just Right, 1 serving, 37.5, 145
Kashi, 1 serving, 37.5, 139
Kelloggs Corn Flakes, 1 serving, 37.5, 132
Kix, 1 serving, 37.5, 136
Krave, 1 serving, 37.5, 138
Life Cereal, 1 serving, 37.5, 139
Lucky Charms, 1 serving, 37.5, 150
Malt-O-Meal, 1 cup, 240, 122
Mini-Wheats, 1 serving, 37.5, 131
Muesli, 1 serving, 37.5, 124
Multigrain Cheerios, 1 serving, 37.5, 141
Nutri-Grain, 1 serving, 37.5, 130
Oatibix, 1 biscuit, 24, 101
Oatmeal, 1 cup, 175, 656
Peanut Butter Toast Crunch, 1 serving, 37.5, 159
Post Raisin Bran, 1 serving, 37.5, 119
Post Shredded Wheat, 1 serving, 37.5, 128
Puff, 1 serving, 37.5, 136
Puffed Rice, 1 serving, 37.5, 142
Puffed Wheat, 1 serving, 37.5, 136
Quaker Grits, 1 serving, 37.5, 127
Quaker Oatmeal, 1 serving, 37.5, 139
Quaker Oatmeal Squares, 1 serving, 37.5, 148
Raisin Bran, 1 serving, 37.5, 119
Raisin Bran Crunch, 1 serving, 37.5, 131
Raisin Bran Crunch, 1 serving, 37.5, 131
Raisin Nut Bran, 1 serving, 37.5, 136
Ready Brek, 1 serving, 37.5, 133
Rice Chex, 1 serving, 37.5, 143
Rice Krispies, 1 serving, 37.5, 146
Scooters, 1 serving, 37.5, 136
Shredded Wheat, 1 serving, 37.5, 126
Shreddies, 1 serving, 37.5, 130
Smart Start, 1 serving, 37.5, 137
Special K, 1 serving, 37.5, 139
Special K Chocolatey Delight, 1 serving, 37.5, 144
Special K Protein Plus, 1 serving, 37.5, 139
Special K Red Berries, 1 serving, 37.5, 128
Sugar Puffs, 1 serving, 37.5, 140
Toasties, 1 serving, 37.5, 134
Trix, 1 serving, 37.5, 148
Weet-Bix, 1 bix, 15, 53
Weetabix, 1 serving, 37.5, 132
Weetos, 1 serving, 37.5, 140
Wheaties, 1 serving, 37.5, 136
