name, serving_quantity, grams_per_serving, cal
Beef Brain, 1 piece, 351, 688
Beef Heart, 3 oz., 85, 140
Beef Kidney, 3 oz., 85, 134
Beef Liver, 1 slice, 68, 130
Beef Lung, 1 piece, 303, 364
Beef Melt, 1 piece, 222, 602
Beef Tongue, 3 oz., 85, 241
Calf Brain, 1 unit, 339, 461
Calf Liver, 1 slice, 80, 154
Calf Lung, 1 unit, 300, 312
Calf Melt, 1 unit, 240, 614
Chicken Giblets, 1 cup, 145, 402
Chicken Heart, 1 heart, 6.1, 11
Chicken Liver, 1 liver, 44, 76
Chicken Stomach, 1 serving, 100, 148
Chitterlings, 3 oz., 85, 198
Duck Liver, 1 liver, 44, 60
Goose Liver, 1 liver, 94, 125
Hog Maws, 3 oz., 85, 133
Pig Brain, 3 oz., 85, 117
Pig Heart, 1 heart, 129, 191
Pig Kidney, 3 oz., 85, 128
Pig Lung, 1 unit, 300, 297
Pork Liver, 3 oz., 85, 140
Pork Melt, 1 unit, 245, 537
Pork Tongue, 1 tongue, 231, 626
Turkey Giblets, 1 giblets, 95, 164
Turkey Heart, 1 heart, 20, 35
Turkey Liver, 1 liver, 53, 100
Turkey Stomach, 1 serving, 100, 148
Veal Heart, 1 unit, 198, 368
Veal Kidney, 1 unit, 184, 300
Veal Tongue, 1 unit, 255, 515
