name, serving_quantity, grams_per_serving, cal
Almond Oil, 1 tbsp, 14, 123
Avocado Oil, 1 tbsp, 14, 120
Butter, 1 tbsp, 15, 108
Canola Oil, 1 tbsp, 14, 124
Coconut Oil, 1 tbsp, 14, 120
Cod Liver Oil, 1 tbsp, 14, 140
Corn Oil, 1 tbsp, 15, 120
Cottonseed Oil, 1 tbsp, 14, 123
Flaxseed Oil, 1 tbsp, 14, 124
Ghee, 1 tbsp, 14, 17
Goose Fat, 1 tbsp, 13, 117
Grape Seed Oil, 1 tbsp, 14, 124
Hemp Oil, 1 tbsp, 15, 121
Herring Oil, 1 tbsp, 14, 126
I can\’t believe it\’s not Butter, 1 tbsp, 14, 50
Lard, 1 tbsp, 13, 117
Macadamia Oil, 1 tbsp, 14, 115
Margarine, 1 tbsp, 14, 100
Mustard Oil, 1 tbsp, 14, 124
Olive Oil, 1 tbsp, 15, 133
Palm Oil, 1 tbsp, 14, 123
Peanut Oil, 1 tbsp, 14, 120
Real Butter, 1 tbsp, 15, 108
Rice Bran Oil, 1 tbsp, 14, 124
Safflower Oil, 1 tbsp, 14, 120
Sardine Oil, 1 tbsp, 14, 126
Sesame Oil, 1 tbsp, 14, 124
Soybean Oil, 1 tbsp, 14, 124
Sunflower Oil, 1 tbsp, 14, 124
Walnut Oil, 1 tbsp, 14, 124
