name, serving_quantity, grams_per_serving, cal
Cannelloni, 2 oz., 56, 82
Capellini, 2 oz., 56, 198
Cappelletti, 2 oz., 56, 92
Cellophane Noodles, 1 cup, 140, 491
Cheese Tortellini, 1 cup, 113, 329
Dampfnudel, 1 dampfnudel, 85, 233
Dumpling Dough, 2 oz., 56, 55
Durum Wheat Semolina, 2 oz., 56, 222
Egg Noodles, 1 cup, 38, 146
Farfalle, 2 oz., 56, 200
Fettuccine, 2 oz., 56, 198
Fusilli, 2 oz., 56, 197
Glass Noodles, 2 oz., 56, 108
Lasagne Sheets, 1 sheet, 21, 57
Linguine, 2 oz., 56, 200
Low Carb Pasta, 2 oz., 56, 158
Macaroni, 1 cup, 114, 422
Manicotti, 2 oz., 56, 200
Mostaccioli, 2 oz., 56, 103
Orecchiette, 2 oz., 56, 207
Orzo, 2 oz., 56, 200
Penne, 2 oz., 56, 197
Penne Rigate, 2 oz., 56, 207
Pierogi, 3 pierogi, 100, 200
Ravioli, 2 oz., 56, 43
Rigatoni, 2 oz., 56, 198
Rotini, 2 oz., 56, 198
Shells, 1 cup, 85, 300
Shirataki Noodles, 2 oz., 56, 10
Soy Noodles, 2 oz., 56, 121
Spaetzle, 2 oz., 56, 206
Spaghetti, 2 oz., 56, 207
Spinach Tortellini, 1 cup, 102, 320
Spirelli, 2 oz., 56, 206
Tagliatelle, 2 oz., 56, 207
Tortellini, 1 cup, 113, 329
Vermicelli, 2 oz., 56, 206
Whole Grain Noodles, 2 oz., 56, 194
Whole Grain Spaghetti, 2 oz., 56, 197
Ziti, 2 oz., 56, 197
