name, serving_quantity, grams_per_serving, cal
Apple Pie, 1 slice, 125, 296
Apple Turnover, 1 turnover, 82, 285
Bagel, 1 bagel, 98, 252
Baguette, 1 slice, 60, 164
Banana Bread, 1 oz., 28.4, 91
Banana Nut Bread, 1 piece, 57, 186
Beer Bread, 1 slice, 30, 68
Biscuit, 1 biscuit, 58, 156
Black Bread, 1 slice, 26, 65
Bran Muffins, 1 muffin, 58, 157
Bread Pudding, 1 serving, 100, 153
Breadsticks, 1 breadstick, 5, 20
Brioche, 1 serving, 77, 266
Brown Bread, 1 slice, 30, 74
Brownies, 1 square, 40, 162
Bun, 1 bun, 38, 120
Cannoli, 1 serving, 85, 216
Caramel Cake, 1 oz., 28.4, 108
Challah, 1 slice, 23, 65
Chapati, 1 piece, 50, 120
Ciabatta, 1 slice, 20, 54
Cinnamon Bun, 1 bun, 65, 283
Coffee Cake, 1 piece, 76, 318
Conchas/Mexican Sweet Bread, 1 piece, 82, 289
Cornbread, 1 oz., 28.4, 50
Crepes, 1 crepe, 50, 112
Croissant, 1 croissant, 57, 231
Crumpet, 1 crumpet, 55, 98
Cupcakes, 1 cupcake, 43, 131
Donut/Doughnut, 1 doughnut, 45, 189
Dosa, 1 serving, 50, 105
Empanada, 1 piece, 89, 298
English Muffin, 1 muffin, 57, 129
Flatbread, 1 slice, 50, 156
Focaccia, 1 piece, 57, 142
Garlic Bread, 1 slice, 43, 151
Hot Dog Buns, 1 bun, 43, 120
Italian Bread, 1 slice, 30, 81
Latkes, 1 serving, 74, 140
Matzo Bread, 1 matzo, 28, 98
Monkey Bread, 1 piece, 57, 165
Muffin, 1 muffin, 71, 210
Multi-Grain Bread, 1 slice, 26, 69
Naan, 1 naan, 160, 440
Oatmeal Cookies, 1 cookie, 25, 113
Oatmeal Raisin Cookies, 1 cookie, 25, 109
Pan de Sal, 1 serving, 50, 147
Pancake, 1 pancake, 38, 89
Pandesal, 1 serving, 50, 147
Panettone, 1 slice, 27, 86
Pide, 1 pide, 60, 161
Pie, 1 piece, 125, 296
Pita Bread, 1 pita, 50, 138
Potato Bread, 1 slice, 32, 85
Pretzel, 1 pretzel, 115, 389
Pretzel Roll, 1 roll, 60, 203
Puff Pastry, 1 piece, 47, 262
Pumpernickel, 1 pumpernickel, 36, 90
Raisin Bread, 1 slice, 32, 88
Roll, 1 roll, 38, 120
Roti, 1 roti, 43, 114
Rye Bread, 1 oz., 28.4, 73
Sandwich, 1 sandwich, 83, 252
Sandwich Bread, 1 slice, 26, 65
Scone, 1 scone, 40, 145
Shortcrust Pastry, 1 serving, 50, 272
Soda Bread, 1 oz., 28.4, 81
Soufflé, 1 cup, 136, 277
Sourdough Bread, 1 slice, 35, 101
Spanakopita, 1 piece, 57, 140
Spice Cake, 1 piece, 66, 219
Sweet Rolls, 1 roll, 66, 220
Swiss Roll, 1 piece, 32, 100
Toast, 1 slice, 33, 86
Tortilla, 1 tortilla, 49, 146
Tortilla Bread, 1 tortilla, 68, 180
White Bread, 1 slice, 28, 67
Whole Wheat Bread, 1 slice, 46, 114
