name, serving_quantity, grams_per_serving, cal
BBQ Chicken Pizza, 1 slice, 132, 309
BBQ Pizza, 1 slice, 140, 314
Beef Pizza, 1 slice, 235, 714
Bianca Pizza, 1 slice, 187, 460
Buffalo Chicken Pizza, 1 slice, 238, 600
Calabrese Pizza, 1 slice, 108, 254
Calzone, 1 calzone, 364, 841
Capricciosa Pizza, 1 slice, 74, 192
Cheese Pizza, 1 slice, 63, 168
Chicken Pizza, 1 slice, 132, 309
Deep Dish Pizza, 1 slice, 118, 313
Dominos Philly Cheese Steak Pizza, 1 slice, 159, 356
Four Cheese Pizza, 1 slice, 113, 250
Goat Cheese Pizza, 1 slice, 63, 138
Grilled Pizza, 1 slice, 124, 280
Hawaiian Pizza, 1 slice, 134, 154
Margherita Pizza, 1 slice, 63, 173
Mozzarella Pizza, 1 slice, 62, 154
Mushroom Pizza, 1 slice, 288, 611
Napoli Pizza, 1 slice, 123, 248
New York Style Pizza, 1 slice, 103, 174
Pepperoni Pizza, 1 slice, 71, 181
Pizza Dough, 2 oz., 57, 130
Pizza Hut Stuffed Crust Pizza, 1 slice, 149, 380
Pizza Hut Supreme Pizza, 1 slice, 123, 305
Pizza Rolls, 1 roll, 14, 35
Quattro Formaggi Pizza, 1 slice, 133, 330
Red Pepper Pizza, 1 slice, 86, 165
Salami Pizza, 1 slice, 71, 181
Sausage Pizza, 1 slice, 72, 177
Seafood Pizza, 1 slice, 76, 186
Shrimp Pizza, 1 slice, 91, 190
Sicilian Pizza, 1 slice, 133, 321
Spinach Feta Pizza, 1 slice, 62, 150
Spinach Pizza, 1 slice, 62, 145
Stuffed Crust Pizza, 1 slice, 149, 380
Tarte Flambée, 1 square, 56, 142
Thin Crust Pizza, 1 slice, 60, 157
Tuna Pizza, 1 slice, 125, 318
Vegetable Pizza, 1 slice, 156, 399
Vegetarian Pizza, 1 slice, 156, 399
Veggie Pizza, 1 slice, 114, 263
White Pizza, 1 slice, 232, 571
