name, serving_quantity, grams_per_serving, cal
Bacon, 1 slice, 26, 106
Brawn, 1 slice, 25, 77
Canadian-Style Bacon, 1 slice, 56, 60
Chitterlings, 3 oz., 85, 198
Ground Pork, 4 oz., 112, 295
Hog Maws, 1 oz., 28, 70
Lard, 1 tbsp, 13, 117
Meatloaf, 12 oz., 336, 299
Parma Ham, 1 serving, 12, 31
Pig Ear, 1 ear, 111, 184
Pig Fat, 1 oz., 28, 179
Pig’s Tail, 1 piece, 275, 1089
Pig’s Trotter, 4 oz., 113, 275
Pork Bacon, 1 slice, 26, 106
Pork Belly, 1 oz., 28, 145
Pork Blade Steak, 4 oz., 113, 262
Pork Chop, 1 chop , 158, 194
Pork Country-Style Ribs, 4 oz., 113, 150
Pork Crown Roast, 4 oz., 113, 240
Pork Cutlet, 1 package, 283, 371
Pork Cutlets, 1 package, 283, 371
Pork Leg, 1 piece, 231, 464
Pork Loin, 1 piece, 333, 476
Pork Meatloaf, 4 oz., 113, 275
Pork Ragout, 1 serving, 361, 264
Pork Rib Roast, 4 oz., 113, 180
Pork Ribs, 3 oz., 85, 248
Pork Roast, 1 chop , 263, 510
Pork Sausage, 1 sausage, 48, 163
Pork Shank, 1 oz., 28, 48
Pork Shoulder, 1 piece, 262, 705
Pork Shoulder Blade, 4 oz., 113, 262
Pork Stomach, 1 oz., 28, 70
Rack of Pork, 4 oz., 113, 272
Salt Meat, 1 oz., 28, 80
Salt Pork, 1 oz., 28, 80
Serrano Ham, 2 oz., 56, 190
Spare Ribs, 3 oz., 85, 337
Spareribs, 1 piece, 247, 588
