name, serving_quantity, grams_per_serving, cal
All-blue Potatoes, 1 potato, 136, 83
Baked Potato, 1 potato, 173, 161
Boiled Potatoes, 1 potato, 136, 118
Cassava, 1 root, 408, 653
Croquettes, 1 serving, 138, 175
Dumpling Dough, 1 dumpling, 40, 50
Dumplings, 1 dumpling, 40, 50
French Fingerling Potatoes, 1 potato, 136, 112
French Fries, 1 serving, 117, 365
Fried Potatoes, 1 serving, 117, 365
Gnocchi, 1 cup, 188, 250
Japanese Sweet Potatoes, 1 potato, 130, 113
Marrow Dumplings, 1 dumpling, 136, 577
Mashed Potatoes, 1 cup, 242, 215
Norland Red Potatoes, 1 potato, 136, 121
Omelette, 1 omelette, 61, 94
Potato, 1 potato, 214, 165
Potato Dumpling, 1 dumpling, 40, 50
Potato Fritter, 1 fritter, 74, 137
Potato Gratin, 1 cup, 245, 323
Potato Pancakes, 1 pancake, 37, 99
Potato Salad, 1 cup, 250, 358
Potato Starch, 1 tbsp, 12, 40
Potato Sticks, 1/2 cup, 18, 94
Potato Waffles, 1 waffle, 57, 95
Potato Wedges, 1 serving, 100, 123
Potatoes au Gratin, 1 cup, 245, 323
Purple Majesty Potatoes, 1 potato, 136, 98
Red Gold Potatoes, 1 potato, 136, 121
Red Potatoes, 1 potato, 173, 154
Roast Potatoes, 1 potato, 136, 203
Rosemary Potatoes, 1 potato, 173, 161
Russet Potatoes, 1 potato, 173, 168
Russian Banana Potatoes, 1 potato, 136, 91
Rösti, 1 roesti, 100, 138
Sweet Potato, 1 potato, 114, 105
White Potatoes, 1 potato, 138, 130
Yams, 1 cup, 136, 158
Yukon Gold Potatoes, 1 potato, 136, 112
