name, serving_quantity, grams_per_serving, cal
Capon, 1 capon, 1418, 3247
Chicken, 1/2 chicken, 334, 731
Chicken Breast, 1 breast, 200, 344
Chicken Drumsticks, 1 drumstick, 71, 131
Chicken Gizzards, 1 cup, 145, 223
Chicken Legs, 1 leg, 199, 346
Chicken Thighs, 1 thigh, 111, 254
Chicken Wings, 1 wing, 53, 141
Cornish Hens, 1 duck, 257, 666
Dove, 1 serving, 100, 213
Duck, 1/2 duck, 634, 2137
Duck Breast, 1 breast, 73, 147
Emu, 1 steak, 394, 599
Goose, 1/2 goose, 591, 1803
Guinea-Fowl, 1/2 guinea, 345, 545
Ostrich, 1 serving, 85, 123
Ostrich Meat, 1 serving, 85, 123
Pheasant, 1 serving, 100, 239
Pheasant Breast, 1/2 breast, 182, 242
Pheasant Leg, 1 leg, 107, 256
Pigeon, 1 pigeon, 199, 283
Poularde, 1 serving, 100, 200
Quail, 1 quail, 92, 209
Quail Breast, 1 breast, 56, 69
Rhea, 1 serving, 100, 160
Turkey, 1 turkey, 3812, 7205
Turkey Breast, 1/2 breast, 864, 1166
Turkey Cutlet, 1 cutlet, 113, 214
Turkey Drumsticks, 1 serving, 100, 208
Turkey Legs, 1 leg, 546, 1136
Turkey Steak, 1 steak, 170, 321
Turkey Wings, 1 wing, 24, 53
Wild Duck, 1/2 duck, 270, 570
