name, serving_quantity, grams_per_serving, cal
1000 Island Dressing, 1 tbsp, 15, 56
Ajvar, 1 tbsp, 15, 3
Arrabiata Sauce, 1 pot, 350, 126
Balsamic Vinaigrette Dressing, 1 tbsp, 16, 46
Barbecue Sauce, 1 tbsp, 15, 23
Bechamel Sauce, 1 tbsp, 15, 34
Bernaise Sauce, 1 tbsp, 15, 62
Blue Cheese Dressing, 1 tbsp, 15, 80
Bolognese, 1 cup, 226, 240
Buttermilk Ranch Dressing, 1 tbsp, 15, 80
Caesar Dressing, 1 tbsp, 15, 64
Catalina Dressing, 1 tbsp, 15, 42
Chasseur Sauce, 1 tbsp, 15, 7
Chili Sauce, 1 tbsp, 18, 20
Cream Sauce, 1 cup, 244, 439
Curry Ketchup, 1 tbsp, 15, 19
Curry Sauce, 1 tbsp, 17, 4
French Dressing, 1 tbsp, 15, 9
Gravy, 1 cup, 233, 123
Greek Dressing, 1 tbsp, 15, 70
Hamburger Sauce, 1 tbsp, 15, 57
Harissa, 1 tbsp, 15, 8
Hollandaise Sauce, 1 tbsp, 15, 80
Honey Mustard Dressing, 1 tbsp, 16, 74
Horseradish, 1 tbsp, 15, 7
Italian Dressing, 1 tbsp, 15, 44
Ketchup, 1 tbsp, 15, 15
Mayonnaise, 1 tbsp, 13, 90
Mustard, 1 tsp, 5, 3
Mustard Sauce, 1 tbsp, 13, 84
Orange Sauce, 1 tbsp, 15, 27
Pesto, 1 tbsp, 15, 69
Ranch Dressing, 1 tbsp, 15, 77
Remoulade Sauce, 1 tbsp, 13, 83
Russian Dressing, 1 tbsp, 15, 60
Salad Dressing, 1 tbsp, 16, 72
Sambal Oelek, 1 tsp, 5, 1
Sesame Ginger Dressing, 1 tbsp, 15, 70
Sesame Paste, 1 tbsp, 15, 89
Sour Cream, 1 tbsp, 12, 26
Sour Cream Sauce, 1 tbsp, 15, 9
Soy Sauce, 1 tbsp, 15, 10
Sweet and Sour Sauce, 1 tbsp, 15, 27
Tabasco, 1 tsp, 5, 4
Teriyaki Sauce, 1 tbsp, 18, 16
Thai Curry Paste, 1 tbsp, 15, 23
Tomato Paste, 1 tbsp, 17, 14
Tomato Puree, 1 tbsp, 15, 6
Tomato Sauce, 1 cup, 245, 59
Tzatziki, 1 tbsp, 15, 14
Vinaigrette, 1 tbsp, 15, 18
Worcestershire Sauce, 1 tbsp, 15, 12
Yogurt Dressing, 1 tbsp, 15, 7
Zesty Italian Dressing, 1 tbsp, 15, 40
