name, serving_quantity, grams_per_serving, cal
Andouille, 1 link, 85, 197
Bacon, 1 slice, 26, 106
Black Pudding, 1 slice, 25, 95
Blood Sausage, 1 slice, 25, 95
Bockwurst, 1 sausage, 91, 274
Boiled Ham, 1 serving, 63, 66
Bologna, 1 slice, 23, 57
Boudin, 1 oz., 28.35, 54
Bratwurst, 1 bratwurst, 66, 196
Brawn, 1 slice, 28, 44
Breakfast Sausage Links, 1 link, 13, 44
Cheese Pastry, 1 pastry, 71, 266
Chicken Breast, 1 slice, 21, 17
Chicken Meat, 1 slice, 21, 17
Chicken Salad, 1 serving, 344, 279
Chorizo, 1 oz., 28.35, 127
Cooked Ham, 1 oz., 28.35, 37
Corned Beef, 1 slice, 28, 43
Cumberland Sausage, 1 sausage, 30, 75
Frankfurters, 1 frankfurter, 45, 137
Garlic Sausage, 1 slice, 13, 22
Hot Dogs, 1 hot dog, 52, 145
Hot Sausage, 1 serving, 55, 142
Italian Sausage, 1 link, 84, 125
Jerky, 1 piece, 20, 82
Kielbasa, 1 link, 75, 232
Knackwurst, 1 link, 72, 221
Landjaeger, 1 landjaeger, 56.8, 197
Linguica, 1 oz., 28.35, 79
Liver Pate, 1 tbsp, 13, 41
Liverwurst, 1 slice, 18, 59
Luncheon Meat, 1 slice, 9.3, 11
Mettwurst, 1 serving, 28, 87
Mortadella, 1 slice, 15, 47
Pastrami, 1 slice, 29, 39
Pepperoni, 1 slice, 2, 10
Polish Sausage, 1 serving, 76, 229
Pork, 1 slice, 21, 52
Pork Roll, 1 slice, 43, 130
Prosciutto, 1 slice, 9, 18
Ring Bologna, 1 oz., 28.35, 80
Salami, 1 slice, 12.3, 40
Sausage, 1 sausage, 16, 37
Smoked Sausage, 1 serving, 76, 229
Souse, 1 slice, 28, 44
Spam, 1 serving, 56, 176
Weisswurst, 1 link, 113, 354
