name, serving_quantity, grams_per_serving, cal
American Cheese, 1 slice, 21, 31
Applewood, 1 slice, 20, 82
Bergkäse, 1 slice, 24, 100
Butter Cheese, 1 slice, 26, 101
Cheddar, 1 slice, 28, 113
Cheese Platter, 1 slice, 28, 100
Cheese Slices, 1 slice, 28, 100
Colby Cheese, 1 slice, 28, 110
Colby-Jack Cheese, 1 slice, 28, 110
Cold Pack Cheese, 1 tbsp, 14, 34
Edam, 1 slice, 28, 100
Edam Cheese, 1 slice, 28, 100
Emmental, 1 slice, 25, 89
Emmentaler, 1 slice, 25, 89
Esrom (Cheese), 1 slice, 23, 74
Fol Epi, 1 slice, 24, 93
Fresh Mozzarella, 1 slice, 28, 78
Gouda, 1 slice, 28, 100
Gouda Cheese, 1 slice, 28, 100
Havarti, 1 slice, 28, 104
Lacy Swiss Cheese, 1 slice, 28, 90
Leerdammer, 1 slice, 25, 71
Leerdammer Cheese, 1 slice, 25, 71
Maasdam Cheese, 1 slice, 18, 62
Monterey Jack Cheese, 1 slice, 28, 104
Mozzarella, 1 slice, 28, 78
Muenster Cheese, 1 slice, 28, 103
Pepper Cheese, 1 slice, 21, 21
Sandwich Cheese, 1 slice, 21, 31
Smoked Cheese, 1 slice, 20, 82
Tilsit, 1 slice, 25, 85
White American, 1 slice, 21, 31
White Cheddar, 1 cup, 132, 532
Young Gouda, 1 slice, 28, 100
