name, serving_quantity, grams_per_serving, cal
7up, 12 fl. oz., 355, 156
Barq’s, 12 fl. oz., 355, 163
Bitter Lemon, 12 fl. oz., 355, 121
Canada Dry Ginger Ale, 8 fl. oz., 240, 98
Cherry Coke, 12 fl. oz., 355, 156
Coke, 12 fl. oz., 355, 149
Coke Zero, 12 fl. oz., 355, 0
Diet Cherry Coke, 12 fl. oz., 355, 4
Diet Coke, 12 fl. oz., 355, 4
Diet Dr. Pepper, 12 fl. oz., 355, 0
Diet Pepsi, 12 fl. oz., 355, 0
Diet Sunkist, 12 fl. oz., 355, 0
Dr. Brown’s, 12 fl. oz., 355, 188
Dr. Pepper, 12 fl. oz., 355, 96
Fanta, 12 fl. oz., 355, 138
Fanta Zero, 12 fl. oz., 355, 0
Five Alive, 12 fl. oz., 355, 124
Fresca, 12 fl. oz., 355, 0
Full Throttle, 8 fl. oz., 240, 264
Fuze, 12 fl. oz., 355, 71
Fuze Tea, 12 fl. oz., 355, 89
Gatorade, 12 fl. oz., 355, 89
Ginger Ale, 12 fl. oz., 355, 124
Ice Tea, 12 fl. oz., 355, 96
Jolt Cola, 8 fl. oz., 240, 106
Kool-Aid, 8 fl. oz., 237, 62
Lemonade, 12 fl. oz., 355, 149
Mello Yello, 8 fl. oz., 240, 118
Minute Maid, 8 fl. oz., 240, 110
Minute Maid Light, 8 fl. oz., 240, 5
Mug Root Beer, 8 fl. oz., 240, 101
Orange Soda, 12 fl. oz., 355, 170
Pepsi, 12 fl. oz., 355, 156
Pibb Xtra, 12 fl. oz., 355, 142
Powerade, 1 bottle, 500, 600
Schweppes Ginger Ale, 12 fl. oz., 355, 135
Soda, 12 fl. oz., 355, 188
Sprite, 12 fl. oz., 355, 131
Sprite Zero, 12 fl. oz., 355, 0
Squirt, 8 fl. oz., 240, 106
Sunkist, 12 fl. oz., 355, 89
Surge, 12 fl. oz., 355, 170
TaB, 12 fl. oz., 355, 0
Tonic Water, 12 fl. oz., 355, 124
Vanilla Coke, 12 fl. oz., 355, 160
