name, serving_quantity, grams_per_serving, cal
Alphabet Soup, 1 cup, 248, 62
Bean Stew, 1 cup, 252, 335
Beef Bouillon, 1 cup, 240, 7
Beef Noodle Soup, 1 cup, 244, 83
Beef Soup, 1 cup, 213, 70
Bouillon, 1 cup, 244, 39
Broccoli Cheese Soup, 1 can, 303, 264
Broccoli Soup, 1 cup, 237, 206
Cabbage Soup, 1 cup, 245, 69
Carrot Ginger Soup, 1 serving, 381, 95
Carrot Soup, 1 serving, 381, 95
Chicken Bouillon, 1 cup, 241, 10
Chicken Broth, 1 cup, 244, 39
Chicken Gumbo Soup, 1 cup, 244, 56
Chicken Noodle Soup, 1 cup, 248, 62
Chicken Stock, 1 cup, 244, 39
Chicken Vegetable Soup, 1 cup, 248, 77
Chicken with Rice Soup, 1 cup, 243, 58
Cream of Asparagus Soup, 1 cup, 244, 85
Cream of Broccoli Soup, 1 serving, 310, 140
Cream of Celery Soup, 1 cup, 248, 92
Cream of Chicken Soup, 1 cup, 244, 117
Cream of Mushroom Soup, 1 cup, 248, 97
Cream of Onion Soup, 1 cup, 244, 107
Cream of Potato Soup, 1 cup, 244, 73
Creamy Chicken Noodle Soup, 1 cup, 245, 56
French Onion Soup, 1 cup, 243, 56
Golden Mushroom Soup, 1 cup, 248, 161
Goulash, 1 serving, 187, 1887
Instant Ramen, 1 package, 85, 371
Lentil Soup, 1 cup, 248, 139
Lobster Bisque Soup, 1 cup, 248, 248
Meatball Soup, 1 cup, 245, 120
Minestrone, 1 cup, 241, 82
Mushroom Soup, 1 cup, 244, 85
Noodle Soup, 1 cup, 244, 83
Onion Soup, 1 cup, 243, 56
Oxtail Soup, 1 cup, 244, 68
Pea Soup, 1 cup, 253, 190
Potato Soup, 1 serving, 240, 192
Pumpkin Soup, 1 cup, 245, 71
Ramen, 1 package, 85, 371
Scotch Broth, 1 cup, 241, 80
Succotash, 1 cup, 192, 221
Thai Soup, 1 cup, 245, 147
Tomato Rice Soup, 1 cup, 247, 116
Tomato Soup, 1 cup, 248, 74
Vegetable Beef Soup, 1 cup, 244, 76
Vegetable Broth, 1 cup, 235, 12
Vegetable Soup, 1 cup, 241, 67
Vegetable Stock, 1 cup, 235, 12
Wedding Soup, 1 cup, 245, 130
