name, serving_quantity, grams_per_serving, cal
Almond Butter, 1 tbsp, 16, 98
Apple Butter, 1 tbsp, 17, 29
Applesauce, 1 cup, 255, 173
Apricot Jam, 1 tbsp, 20, 50
Blackberry Jam, 1 tbsp, 20, 50
Blackcurrant Jam, 1 tbsp, 20, 50
Blueberry Jam, 1 tbsp, 20, 50
Cheese Spread, 1 tbsp, 15, 44
Cherry Jam, 1 tbsp, 20, 50
Chocolate Philadelphia, 1 serving, 30, 86
Chocolate Spread, 1 tsp, 12, 65
Cream Cheese, 1 cup, 232, 793
Egg, 1 egg, 56, 54
Grape Jelly, 1 tbsp, 20, 51
Honey, 1 tbsp, 21, 64
Jelly, 1 tbsp, 20, 56
Jif Peanut Butter, 1 tbsp, 16, 93
Liverwurst, 1 slice, 18, 55
Margarine, 1 tbsp, 14, 100
Marmite, 1 tsp, 4, 9
Marshmallow Fluff, 1 tbsp, 6, 40
Nutella, 1 serving, 15, 82
Olive Spread, 1 serving, 10, 55
Peanut Butter, 1 tbsp, 16, 94
Peter Pan Peanut Butter, 1 tbsp, 16, 97
Philadelphia Cream Cheese, 1 cup, 232, 793
Plum Jam, 1 tbsp, 20, 50
Pâté (720)/Pate, 1 tbsp, 13, 41
Salted Butter, 1 cup, 227, 1628
Skippy Peanut Butter, 1 tbsp, 16, 95
Smuckers Strawberry Jam, 1 tbsp, 20, 50
Strawberry Jam, 1 tbsp, 20, 50
Strawberry Jelly, 1 tbsp, 20, 50
Sunbutter, 1 tbsp, 16, 99
Sunflower Butter, 1 cup, 227, 1401
Tapenade, 1 tbsp, 15, 35
Unsalted Butter, 1 cup, 227, 1628
Vegemite, 1 tsp, 5, 9
Wild Honey, 1 tbsp, 21, 60
