name, serving_quantity, grams_per_serving, cal
Acerola, 1 acerola, 4.8, 1
Asian Pear, 1 pear, 178, 75
Avocado, 1 avocado, 200, 320
Banana, 1 banana, 125, 111
Breadfruit, 1/4 breadfruit, 96, 99
Cantaloupe Melon, 1 wedge, 69, 23
Casaba Melon, 1 wedge, 125, 35
Cherimoya, 1 cherimoya, 235, 176
Dragon Fruit, 1 dragonfruit, 200, 120
Durian, 1 durian, 602, 885
Feijoa, 1 feijoa, 42, 23
Galia Melon, 1 melon, 130, 30
Grapefruit, 1/2 grapefruit, 123, 52
Guava, 1 guava, 55, 37
Honeydew, 1 wedge, 125, 45
Jackfruit, 1 cup, 151, 143
Kiwi, 1 kiwi, 183, 112
Kumquat, 1 kumquat, 19, 13
Lychee, 1 lychee, 10, 7
Mandarin Oranges, 1 madarin orange, 90, 48
Mango, 1 mango, 336, 202
Mangosteen, 1 serving, 80, 58
Maracuya, 1 maracuya, 18, 17
Maraschino Cherries, 1 cherry, 5, 8
Muskmelon, 1 wedge, 69, 23
Noni, 1 oz., 28.4, 15
Passion Fruit, 1 passion fruit, 18, 17
Pineapple, 1 pineapple, 905, 453
Pink Grapefruit, 1/2 grapefruit, 123, 52
Plantain, 1 plantain, 179, 218
Pomegranate, 1 pomegranate, 282, 234
Pomelo, 1 pomelo, 609, 231
Prickly Pear, 1 pad/peeled, 19, 8
Rambutan, 1 rambutan, 9, 7
Sapodilla, 1 sapodilla, 170, 141
Soursop Fruit, 1 soursop fruit, 625, 413
Star Fruit, 1 starfruit, 91, 28
Tamarind, 1 tamarind, 2, 5
Watermelon, 1 wedge, 286, 86
