name, serving_quantity, grams_per_serving, cal
Almond Oil, 1 tbsp, 14, 123
Apricot Kernel Oil, 1 tbsp, 14, 124
Argan Oil, 1 tbsp, 14, 125
Avocado Oil, 1 tbsp, 14, 120
Babassu Oil, 1 tbsp, 14, 124
Canola Oil, 1 tbsp, 14, 124
Coconut Oil, 1 tbsp, 14, 120
Corn Oil, 1 tbsp, 15, 120
Cottonseed Oil, 1 tbsp, 14, 123
Flaxseed Oil, 1 tbsp, 14, 124
Grape Seed Oil, 1 tbsp, 14, 124
Hazelnut Oil, 1 tbsp, 14, 124
Linseed Oil, 1 tbsp, 14, 117
Menhaden Oil, 1 tbsp, 14, 128
Mustard Oil, 1 tbsp, 14, 124
Oat Oil, 1 tbsp, 14, 124
Olive Oil, 1 tbsp, 15, 120
Palm Kernel Oil, 1 tbsp, 14, 123
Palm Oil, 1 tbsp, 14, 123
Peanut Oil, 1 tbsp, 14, 120
Poppy Seed Oil, 1 tbsp, 14, 124
Pumpkin Seed Oil, 1 tbsp, 14, 123
Rice Bran Oil, 1 tbsp, 14, 124
Safflower Oil, 1 tbsp, 14, 120
Salmon Oil, 1 tbsp, 14, 128
Sesame Oil, 1 tbsp, 14, 124
Shea Oil, 1 tbsp, 14, 124
Soy Oil, 1 tbsp, 14, 123
Sunflower Oil, 1 tbsp, 14, 124
Tomato Seed Oil, 1 tbsp, 14, 124
Vegetable Oil, 1 tbsp, 15, 120
Walnut Oil, 1 tbsp, 14, 124
Wheat Germ Oil, 1 tbsp, 14, 130
