name, serving_quantity, grams_per_serving, cal
Alligator, 1 piece, 184, 191
Alligator Meat, 1 piece, 340, 789
Antelope Meat, 1 piece, 340, 510
Bear Meat, 1 piece, 277, 717
Beaver Meat, 1 piece, 313, 664
Bison, 1 piece, 194, 332
Bison Meat, 1 piece, 194, 332
Bison Sirloin, 1 piece, 194, 332
Buffalo, 1 piece, 340, 445
Buffalo Meat, 1 piece, 340, 445
Caribou, 1 piece, 102, 162
Goose, 1/2 goose, 591, 1407
Goose Meat, 1/2 goose, 591, 1407
Lamb, 1 piece, 193, 390
Lamb Meat, 1 piece, 193, 390
Mallard Duck Meat, 1 piece, 265, 559
Mallard Meat, 1 piece, 265, 559
Moose, 1 piece, 340, 456
Moose Meat, 1 piece, 340, 456
Mutton, 1 piece, 240, 562
Mutton Meat, 1 oz., 28, 66
Ostrich, 1 patty, 93, 163
Ostrich Meat, 1 piece, 340, 595
Pheasant, 1 piece, 169, 404
Pheasant Meat, 1 piece, 169, 404
Rabbit, 1 piece, 313, 617
Racoon, 1 piece, 356, 908
Racoon Meat, 1 piece, 399, 1017
Reindeer, 1 piece, 340, 680
Reindeer Meat, 1 piece, 340, 680
Squirrel, 1 piece, 313, 541
Squirrel Meat, 1 piece, 313, 541
Venison, 1 piece, 157, 257
Venison Sirloin, 1 piece, 340, 537
Wild Boar, 1 piece, 340, 544
Wild Boar Meat, 1 piece, 340, 544
