name, serving_quantity, grams_per_serving, cal
Activia, 1 container, 113, 84
Activia Lemon, 1 container, 113, 113
Activia Strawberry, 1 container, 113, 110
Aloe Vera Yogurt, 1 container, 227, 193
Ayran, 1 cup, 200, 84
Bircher Muesli Yogurt, 1 container, 227, 247
Blueberry Yogurt, 1 container, 227, 238
Cherry Yogurt, 1 container, 227, 220
Chocolate Yogurt, 1 container, 227, 291
Cream Yogurt, 1 container, 113, 140
Creamy Yogurt, 1 container, 227, 204
Diet Yogurt, 1 container, 227, 123
Fruit Yogurt, 1 container, 227, 220
Greek Yogurt, 1 container, 150, 80
Low-Fat Yogurt, 1 container, 227, 143
Mocca Yogurt, 1 container, 227, 227
Organic Yogurt, 1 container, 227, 170
Peach Yogurt, 1 container, 113, 110
Plain Yogurt, 1 container, 227, 138
Probiotic Yogurt, 1 container, 113, 90
Skim Milk Yogurt, 1 container, 227, 127
Stracciatella Yogurt, 1 container, 227, 316
Strawberry Yogurt, 1 container, 227, 227
Vanilla Yogurt, 1 container, 227, 229
Yogurt, 1 container, 227, 138
Yogurt Corner, 1 container, 135, 161
Yoplait Boston Cream Pie, 1 container, 170, 153
Yoplait French Vanilla, 1 container, 170, 170
Yoplait Greek Blueberry, 1 container, 170, 170
Yoplait Greek Coconut, 1 container, 170, 170
Yoplait Greek Strawberry, 1 container, 170, 170
Yoplait Greek Vanilla, 1 container, 170, 170
Yoplait Harvest Peach, 1 container, 170, 170
Yoplait Key Lime Pie, 1 container, 170, 170
Yoplait Mango, 1 container, 170, 170
Yoplait Mixed Berry, 1 container, 170, 170
Yoplait Pina Colada, 1 container, 170, 170
Yoplait Strawberry, 1 container, 170, 170
Yoplait Strawberry Banana, 1 container, 170, 170
Yoplait Strawberry Cheesecake, 1 container, 170, 170
